iter	Passed	Remaining
0	140	140406
1	141	70476
2	141	47163
3	142	35529
4	143	28525
5	144	23856
6	144	20520
7	145	18026
8	146	16090
9	146	14532
10	147	13256
11	148	12193
12	148	11293
13	149	10522
14	150	9856
15	150	9270
16	151	8754
17	152	8297
18	152	7888
19	153	7523
20	154	7194
21	155	6891
22	155	6615
23	156	6362
24	157	6129
25	157	5912
26	158	5711
27	159	5525
28	159	5350
29	160	5187
30	161	5035
31	161	4893
32	162	4761
33	163	4634
34	163	4515
35	164	4402
36	165	4296
37	165	4196
38	166	4100
39	167	4009
40	167	3922
41	168	3841
42	169	3763
43	169	3688
44	170	3616
45	171	3547
46	171	3481
47	172	3418
48	173	3358
49	173	3300
50	174	3244
51	175	3191
52	175	3140
53	176	3090
54	177	3042
55	177	2995
56	178	2951
57	179	2908
58	179	2866
59	180	2826
60	181	2787
61	181	2749
62	182	2712
63	183	2676
64	183	2642
65	184	2609
66	185	2576
67	185	2540
68	186	2510
69	186	2480
70	187	2451
71	188	2424
72	188	2396
73	189	2370
74	190	2344
75	190	2318
76	191	2293
77	192	2269
78	192	2246
79	193	2223
80	194	2202
81	194	2180
82	195	2159
83	196	2138
84	196	2116
85	197	2096
86	197	2075
87	198	2056
88	199	2037
89	199	2019
90	200	2002
91	201	1985
92	201	1968
93	202	1951
94	203	1935
95	203	1918
96	204	1902
97	205	1887
98	205	1872
99	206	1857
100	207	1843
101	207	1826
102	208	1813
103	208	1800
104	209	1787
105	210	1774
106	211	1763
107	211	1750
108	212	1738
109	213	1726
110	213	1713
111	214	1701
112	215	1689
113	215	1678
114	216	1666
115	217	1654
116	217	1643
117	218	1632
118	219	1621
119	219	1611
120	220	1601
121	221	1591
122	221	1578
123	222	1569
124	222	1559
125	223	1549
126	224	1540
127	224	1529
128	225	1520
129	225	1511
130	226	1503
131	227	1494
132	227	1485
133	228	1476
134	229	1468
135	229	1459
136	230	1451
137	230	1442
138	231	1434
139	232	1427
140	233	1419
141	233	1412
142	234	1404
143	234	1396
144	235	1389
145	236	1382
146	236	1375
147	237	1368
148	238	1361
149	238	1354
150	239	1347
151	240	1340
152	240	1333
153	241	1327
154	242	1320
155	242	1314
156	243	1307
157	244	1301
158	244	1295
159	245	1289
160	246	1283
161	246	1277
162	247	1271
163	248	1265
164	248	1259
165	249	1253
166	250	1248
167	250	1242
168	251	1237
169	252	1231
170	253	1226
171	253	1221
172	254	1215
173	254	1210
174	255	1204
175	256	1199
176	256	1194
177	257	1189
178	258	1184
179	258	1179
180	259	1173
181	259	1168
182	260	1163
183	261	1158
184	261	1153
185	262	1148
186	263	1144
187	263	1139
188	264	1135
189	265	1130
190	265	1125
191	266	1121
192	267	1117
193	267	1112
194	268	1108
195	269	1103
196	269	1099
197	270	1095
198	271	1091
199	271	1087
200	272	1082
201	273	1078
202	273	1074
203	274	1070
204	275	1066
205	275	1062
206	276	1058
207	277	1054
208	277	1050
209	278	1046
210	278	1043
211	279	1039
212	280	1035
213	280	1031
214	281	1028
215	282	1024
216	282	1020
217	283	1017
218	284	1013
219	284	1010
220	285	1006
221	286	1002
222	286	999
223	287	995
224	288	992
225	288	988
226	289	985
227	289	981
228	290	978
229	291	975
230	291	971
231	292	968
232	293	965
233	293	962
234	294	959
235	295	956
236	295	952
237	296	949
238	297	946
239	297	943
240	298	940
241	299	937
242	299	934
243	300	931
244	301	928
245	301	925
246	302	922
247	303	919
248	303	916
249	304	913
250	305	910
251	305	907
252	306	904
253	307	901
254	307	899
255	308	896
256	309	893
257	309	890
258	310	887
259	310	885
260	311	882
