iter	Passed	Remaining
0	140	140673
1	141	70640
2	142	47275
3	142	35597
4	143	28587
5	144	23917
6	145	20578
7	145	18075
8	146	16130
9	147	14571
10	147	13297
11	148	12237
12	149	11345
13	150	10573
14	150	9903
15	151	9317
16	152	8800
17	152	8339
18	153	7933
19	154	7572
20	155	7240
21	156	6943
22	156	6667
23	157	6418
24	158	6187
25	159	5968
26	160	5770
27	160	5588
28	161	5414
29	162	5250
30	163	5098
31	163	4954
32	164	4820
33	165	4692
34	165	4572
35	166	4467
36	167	4361
37	168	4261
38	169	4164
39	169	4072
40	170	3984
41	171	3901
42	171	3821
43	172	3746
44	173	3674
45	173	3604
46	174	3537
47	175	3474
48	175	3413
49	176	3354
50	177	3297
51	177	3243
52	178	3192
53	179	3142
54	180	3094
55	180	3047
56	181	3002
57	182	2958
58	182	2916
59	183	2874
60	184	2834
61	185	2799
62	185	2762
63	186	2726
64	187	2691
65	187	2657
66	188	2624
67	189	2592
68	189	2561
69	190	2531
70	191	2502
71	191	2473
72	192	2445
73	193	2418
74	193	2392
75	194	2366
76	195	2341
77	195	2316
78	196	2292
79	197	2269
80	198	2246
81	198	2224
82	199	2199
83	199	2177
84	200	2157
85	201	2137
86	201	2117
87	202	2098
88	203	2079
89	203	2060
90	204	2042
91	205	2024
92	205	2007
93	206	1990
94	207	1973
95	207	1957
96	208	1941
97	209	1925
98	209	1910
99	210	1895
100	211	1880
101	211	1865
102	212	1851
103	213	1837
104	213	1823
105	214	1810
106	215	1796
107	215	1783
108	216	1771
109	217	1758
110	218	1746
111	218	1734
112	219	1722
113	220	1710
114	220	1698
115	221	1687
116	221	1674
117	222	1664
118	223	1653
119	224	1642
120	224	1632
121	225	1620
122	225	1610
123	226	1600
124	227	1591
125	227	1581
126	228	1571
127	229	1562
128	230	1553
129	230	1544
130	231	1535
131	232	1526
132	232	1517
133	233	1508
134	234	1500
135	234	1491
136	235	1483
137	236	1475
138	236	1467
139	237	1459
140	238	1451
141	238	1442
142	239	1435
143	240	1427
144	240	1420
145	241	1413
146	242	1405
147	242	1398
148	243	1391
149	244	1384
150	245	1377
151	245	1370
152	246	1363
153	246	1356
154	247	1350
155	248	1344
156	249	1337
157	249	1330
158	250	1324
159	251	1318
160	251	1311
161	252	1305
162	253	1299
163	253	1293
164	254	1288
165	255	1282
166	256	1277
167	256	1271
168	257	1265
169	258	1260
170	258	1254
171	259	1249
172	260	1243
173	260	1238
174	261	1233
175	262	1227
176	262	1222
177	263	1217
178	264	1212
179	264	1207
180	265	1202
181	266	1198
182	267	1195
183	268	1190
184	269	1185
185	269	1180
186	270	1176
187	271	1171
188	271	1166
189	272	1161
190	273	1157
191	274	1153
192	274	1148
193	275	1144
194	276	1139
195	276	1135
196	277	1131
197	278	1126
198	278	1122
199	279	1117
200	280	1115
201	281	1111
202	282	1108
203	283	1104
204	283	1100
205	284	1096
206	285	1092
207	285	1088
208	286	1084
209	287	1080
210	287	1076
211	288	1072
212	289	1068
213	289	1064
214	290	1060
215	291	1056
216	291	1053
217	292	1049
218	293	1045
219	293	1042
220	294	1038
221	295	1035
222	296	1031
223	296	1028
224	297	1024
225	298	1020
226	298	1017
227	299	1014
228	300	1010
229	300	1007
230	301	1003
231	302	1000
232	302	997
233	303	993
234	304	990
235	305	987
236	305	984
237	306	981
238	307	978
239	308	975
240	308	972
241	309	969
242	310	966
243	311	963
244	311	961
245	312	958
246	313	956
247	314	953
248	314	950
249	315	946
250	316	943
251	316	940
252	317	937
253	318	934
254	319	932
255	319	929
256	320	926
257	321	923
258	321	920
259	322	917
260	323	915
261	324	912
262	324	910
263	325	907
264	326	904
265	326	901
266	327	899
267	328	896
268	328	893
269	329	890
270	330	888
271	330	885
272	331	882
273	332	880
274	332	877
275	333	875
276	334	872
277	334	869
278	335	867
279	336	864
280	337	862
281	337	860
282	338	857
283	339	854
284	339	852
285	340	850
286	341	847
287	341	845
288	342	842
289	343	840
290	343	838
291	344	835
292	345	833
293	346	831
294	347	829
295	347	827
296	348	824
297	349	822
298	350	820
299	350	818
300	351	816
301	352	814
302	353	812
303	353	809
304	354	807
305	355	805
306	355	803
307	356	800
308	357	798
309	357	796
310	358	794
311	359	791
312	359	789
313	360	787
314	361	785
315	361	783
316	362	781
317	363	778
318	363	776
319	364	774
320	365	772
321	365	770
322	366	768
323	367	766
324	367	764
325	368	762
326	369	760
327	370	758
328	370	756
329	371	754
330	372	752
331	372	749
332	373	747
333	374	745
334	374	743
335	375	741
336	376	739
337	376	737
338	377	735
339	377	733
340	378	731
341	379	729
342	379	727
343	380	725
344	381	724
345	382	722
346	382	720
347	383	718
348	384	716
349	384	714
350	385	712
351	386	710
352	386	708
353	387	706
354	388	704
355	388	703
356	389	701
357	390	699
358	390	697
359	391	695
360	392	693
361	392	692
362	393	690
363	394	689
364	395	687
365	395	685
366	396	684
367	397	682
368	398	680
369	398	679
370	399	677
371	400	675
372	400	673
373	401	672
374	402	670
375	402	668
376	403	666
377	404	665
378	404	663
379	405	661
380	406	660
381	406	658
382	407	656
383	408	655
384	409	653
385	410	652
386	410	650
387	411	648
388	412	647
389	412	645
390	413	644
391	414	642
392	414	640
393	415	639
394	416	637
395	417	636
396	417	634
397	418	632
398	418	631
399	419	629
400	420	627
401	421	626
402	421	624
403	422	623
404	423	621
405	423	620
406	424	618
407	425	616
408	426	615
409	426	614
410	427	612
411	428	610
412	428	609
413	429	607
414	430	606
415	430	604
416	431	603
417	432	601
418	432	600
419	433	598
420	434	597
421	434	595
422	435	594
423	436	592
424	437	591
425	437	589
426	438	588
427	439	587
428	439	585
429	440	584
